KjøpSelg,Navn,Utv. i dag,I dag %,Siste,I dag +/-,Valuta,I dag,Omsetning,Børsverdi,Antall eiere,
KjøpSelg,TGS ASA,,"+1,48%","109,5","+1,6",NOK,"+1,48%109,5NOK",13MNOK,21 374MNOK,8 606,
KjøpSelg,ORKLA,,"+0,99%","102,4","+1,0",NOK,"+0,99%102,4NOK",12MNOK,102 647MNOK,17 649,
KjøpSelg,WALLENIUS WILHELMSEN,,"+1,81%","106,7","+1,9",NOK,"+1,81%106,7NOK",12MNOK,45 061MNOK,6 215,
KjøpSelg,2020 BULKERS,,"+1,16%","122,2","+1,4",NOK,"+1,16%122,2NOK",12MNOK,2 797MNOK,6 140,
KjøpSelg,STOREBRAND,,"+0,08%","122,7","+0,1",NOK,"+0,08%122,7NOK",12MNOK,54 966MNOK,13 142,
KjøpSelg,SATS,,"+1,01%","25,00","+0,25",NOK,"+1,01%25,00NOK",11MNOK,5 097MNOK,3 697,
KjøpSelg,TOMRA SYSTEMS,,"−2,46%","154,4","−3,9",NOK,"−2,46%154,4NOK",11MNOK,45 916MNOK,11 055,
KjøpSelg,STOLT-NIELSEN,,"+0,18%","271,0","+0,5",NOK,"+0,18%271,0NOK",11MNOK,15 743MNOK,1 617,
KjøpSelg,AKER,,"+1,57%",584,+9,NOK,"+1,57%584NOK",10MNOK,43 478MNOK,5 060,
KjøpSelg,SPAREBANK 1 SØR-NORGE ASA,,"+1,26%","145,0","+1,8",NOK,"+1,26%145,0NOK","9,2MNOK",38 478MNOK,6 474,
KjøpSelg,OKEANIS ECO TANKERS,,"−2,88%","236,0","−7,0",NOK,"−2,88%236,0NOK","8,8MNOK",7 861MNOK,2 428,
KjøpSelg,CRAYON GROUP HOLDING,,"+0,79%","127,0","+1,0",NOK,"+0,79%127,0NOK","8,4MNOK",11 286MNOK,3 662,
KjøpSelg,HEXAGON COMPOSITES,,"−1,39%","42,60","−0,60",NOK,"−1,39%42,60NOK","8,2MNOK",9 002MNOK,4 050,
KjøpSelg,SCATEC ASA,,"+1,38%","80,90","+1,10",NOK,"+1,38%80,90NOK","8,2MNOK",12 761MNOK,10 542,
KjøpSelg,GRIEG SEAFOOD,,"−1,95%","60,45","−1,20",NOK,"−1,95%60,45NOK","7,8MNOK",6 800MNOK,5 227,
KjøpSelg,AUTOSTORE HOLDINGS LTD.,,"−1,43%","12,42","−0,18",NOK,"−1,43%12,42NOK","7,5MNOK",42 583MNOK,6 190,
KjøpSelg,DNO,,"+0,58%","10,33","+0,06",NOK,"+0,58%10,33NOK","7,5MNOK",10 082MNOK,6 279,
KjøpSelg,AKER CARBON CAPTURE ASA,,"+0,08%","6,190","+0,005",NOK,"+0,08%6,190NOK","7,5MNOK",3 743MNOK,11 397,
KjøpSelg,NRC GROUP,,"+8,59%","5,56","+0,44",NOK,"+8,59%5,56NOK","7,2MNOK",969MNOK,1 995,
KjøpSelg,ODFJELL DRILLING,,"+2,20%","51,2","+1,1",NOK,"+2,20%51,2NOK","6,8MNOK",12 158MNOK,3 076,
KjøpSelg,PARATUS ENERGY SERVICES LTD.,,"−0,04%","45,52","−0,02",NOK,"−0,04%45,52NOK","6,6MNOK",7 779MNOK,1 758,
KjøpSelg,GJENSIDIGE FORSIKRING,,"+0,80%","200,8","+1,6",NOK,"+0,80%200,8NOK","6,6MNOK",99 950MNOK,9 985,
KjøpSelg,HIMALAYA SHIPPING LTD,,"+0,79%","63,7","+0,5",NOK,"+0,79%63,7NOK","6,0MNOK",2 753MNOK,1 084,
KjøpSelg,NORBIT,,"+0,72%","97,7","+0,7",NOK,"+0,72%97,7NOK","5,9MNOK",6 299MNOK,2 894,
KjøpSelg,PANORO ENERGY,,"+4,73%","27,65","+1,25",NOK,"+4,73%27,65NOK","5,8MNOK",3 234MNOK,2 832,
KjøpSelg,AF GRUPPEN,,"0,00%","143,8","0,0",NOK,"0,00%143,8NOK","5,7MNOK",15 650MNOK,4 696,
KjøpSelg,EUROPRIS,,"−0,58%","68,00","−0,40",NOK,"−0,58%68,00NOK","5,5MNOK",11 404MNOK,7 405,
KjøpSelg,BORR DRILLING,,"+0,72%","41,94","+0,30",NOK,"+0,72%41,94NOK","5,4MNOK",10 996MNOK,2 690,
KjøpSelg,SPAREBANK 1 NORD-NORGE,,"+0,76%","119,00","+0,90",NOK,"+0,76%119,00NOK","5,2MNOK",-,3 234,
KjøpSelg,ENTRA,,"−0,33%","119,8","−0,4",NOK,"−0,33%119,8NOK","5,1MNOK",21 674MNOK,2 030,
KjøpSelg,PROTECTOR FORSIKRING,,"+1,54%","297,5","+4,5",NOK,"+1,54%297,5NOK","5,0MNOK",24 544MNOK,4 279,
KjøpSelg,LINK MOBILITY GROUP HOLDING,,"+1,45%","24,45","+0,35",NOK,"+1,45%24,45NOK","5,0MNOK",7 259MNOK,2 725,
KjøpSelg,NORSE ATLANTIC ASA,,"+6,64%","4,015","+0,250",NOK,"+6,64%4,015NOK","4,9MNOK",476MNOK,4 174,
KjøpSelg,REC SILICON,,"−3,14%","4,190","−0,136",NOK,"−3,14%4,190NOK","4,8MNOK",1 809MNOK,15 982,
KjøpSelg,NORCONSULT ASA,,"−0,12%","41,90","−0,05",NOK,"−0,12%41,90NOK","4,8MNOK",13 010MNOK,4 829,
KjøpSelg,SHELF DRILLING,,"+1,51%","10,10","+0,150",NOK,"+1,51%10,10NOK","4,6MNOK",2 511MNOK,2 756,
KjøpSelg,CADELER A/S,,"+1,47%","68,9","+1,0",NOK,"+1,47%68,9NOK","4,5MNOK",23 579MNOK,4 430,
KjøpSelg,ENDÚR,,"+0,94%","64,3","+0,6",NOK,"+0,94%64,3NOK","4,5MNOK",2 376MNOK,2 209,
KjøpSelg,PEXIP HOLDING,,"+1,78%","45,80","+0,80",NOK,"+1,78%45,80NOK","4,3MNOK",4 778MNOK,3 670,
KjøpSelg,RANA GRUBER ASA,,"−1,30%","76,2","−1,0",NOK,"−1,30%76,2NOK","4,3MNOK",2 826MNOK,5 343,
KjøpSelg,AUSTEVOLL SEAFOOD,,"−0,20%","100,5","−0,2",NOK,"−0,20%100,5NOK","4,0MNOK",20 262MNOK,4 355,
KjøpSelg,BELSHIPS,,"+1,02%","17,84","+0,18",NOK,"+1,02%17,84NOK","4,0MNOK",4 521MNOK,4 223,
KjøpSelg,ELKEM,,"+1,14%","18,58","+0,21",NOK,"+1,14%18,58NOK","3,9MNOK",11 874MNOK,11 205,
KjøpSelg,ELMERA GROUP ASA,,"+1,80%","39,60","+0,70",NOK,"+1,80%39,60NOK","3,9MNOK",4 483MNOK,3 754,
KjøpSelg,BLUENORD ASA,,"+1,55%",588,+9,NOK,"+1,55%588NOK","3,8MNOK",15 661MNOK,2 145,
KjøpSelg,PHOTOCURE,,"+2,35%","50,1","+1,15",NOK,"+2,35%50,1NOK","3,7MNOK",1 367MNOK,2 424,
KjøpSelg,SOLSTAD OFFSHORE,,"−0,83%","40,66","−0,34",NOK,"−0,83%40,66NOK","3,7MNOK",3 393MNOK,4 795,
KjøpSelg,LERØY SEAFOOD GROUP,,"+0,69%","51,40","+0,35",NOK,"+0,69%51,40NOK","3,7MNOK",30 385MNOK,11 964,
KjøpSelg,SPAREBANK 1 SMN,,"+1,16%","164,52","+1,88",NOK,"+1,16%164,52NOK","3,7MNOK",-,6 125,
KjøpSelg,SPAREBANKEN SØR,,"+1,02%","184,00","+1,86",NOK,"+1,02%184,00NOK","3,7MNOK",-,2 885,
KjøpSelg,NORSK TITANIUM AS,,"+6,41%","2,49","+0,15",NOK,"+6,41%2,49NOK","3,6MNOK",1 613MNOK,2 605,
KjøpSelg,NYKODE THERAPEUTICS ASA,,"+8,43%","2,932","+0,228",NOK,"+8,43%2,932NOK","3,6MNOK",954MNOK,4 569,
KjøpSelg,POLIGHT,,"−4,00%","4,560","−0,190",NOK,"−4,00%4,560NOK","3,5MNOK",598MNOK,5 790,
KjøpSelg,NORSKE SKOG,,"+2,92%","21,88","+0,62",NOK,"+2,92%21,88NOK","3,2MNOK",1 827MNOK,6 752,
KjøpSelg,Sea1 Offshore Inc.,,"−1,27%","27,15","−0,35",NOK,"−1,27%27,15NOK","3,0MNOK",4 184MNOK,1 976,
KjøpSelg,KID,,"−0,93%","127,4","−1,2",NOK,"−0,93%127,4NOK","3,0MNOK",5 170MNOK,2 453,
KjøpSelg,BAKKAFROST,,"+0,15%","651,0","+1,0",NOK,"+0,15%651,0NOK","2,9MNOK",38 518MNOK,3 330,
KjøpSelg,BORREGAARD,,"+0,44%","184,4","+0,8",NOK,"+0,44%184,4NOK","2,9MNOK",18 380MNOK,3 274,
KjøpSelg,NORDIC MINING,,"+1,39%","24,820","+0,340",NOK,"+1,39%24,820NOK","2,6MNOK",2 685MNOK,12 628,
KjøpSelg,ATEA,,"+2,84%","137,8","+3,8",NOK,"+2,84%137,8NOK","2,6MNOK",15 239MNOK,3 621,
KjøpSelg,EXACT THERAPEUTICS,,"−33,33%","4,00","−2,00",NOK,"−33,33%4,00NOK","2,6MNOK",128MNOK,121,
KjøpSelg,SELVAAG BOLIG,,"−0,29%","34,85","−0,10",NOK,"−0,29%34,85NOK","2,6MNOK",3 291MNOK,4 674,
KjøpSelg,KITRON,,"+0,88%","32,12","+0,28",NOK,"+0,88%32,12NOK","2,6MNOK",6 397MNOK,5 752,
KjøpSelg,ODFJELL SER. A,,"0,00%","106,0","0,0",NOK,"0,00%106,0NOK","2,5MNOK",8 504MNOK,1 044,
KjøpSelg,OKEA,,"+0,50%","20,00","+0,10",NOK,"+0,50%20,00NOK","2,5MNOK",2 078MNOK,3 751,
KjøpSelg,WILH. WILHELMSEN HOLDING SER. A,,"+0,37%","411,5","+1,5",NOK,"+0,37%411,5NOK","2,4MNOK",18 047MNOK,1 593,
KjøpSelg,KLAVENESS COMBINATION CARRIERS,,"+0,90%","78,1","+0,7",NOK,"+0,90%78,1NOK","2,3MNOK",4 692MNOK,3 353,
KjøpSelg,BERGENBIO,,"−5,88%","10,050","−0,628",NOK,"−5,88%10,050NOK","2,0MNOK",393MNOK,8 420,
KjøpSelg,AKER HORIZONS ASA,,"+0,31%","1,964","+0,006",NOK,"+0,31%1,964NOK","1,9MNOK",1 399MNOK,19 100,
KjøpSelg,KONGSBERG AUTOMOTIVE,,"+0,95%","1,486","+0,014",NOK,"+0,95%1,486NOK","1,9MNOK",1 408MNOK,16 110,
KjøpSelg,DEEP VALUE DRILLER AS,,"−1,34%","16,18","−0,22",NOK,"−1,34%16,18NOK","1,9MNOK",1 415MNOK,1 131,
KjøpSelg,ATLANTIC SAPPHIRE,,"+3,33%","0,0899","+0,0029",NOK,"+3,33%0,0899NOK","1,8MNOK",667MNOK,5 574,
KjøpSelg,LOKOTECH GROUP AS,,"+4,01%","1,425","+0,055",NOK,"+4,01%1,425NOK","1,8MNOK",246MNOK,920,
KjøpSelg,EAM SOLAR AS,,"+12,13%","0,1710","+0,0185",NOK,"+12,13%0,1710NOK","1,8MNOK",28MNOK,3 650,
